id,time,read,write
v1,2021-01-18 00:00:00,0.0,1494.0
v1,2021-01-18 01:00:00,0.0,1516.0
v1,2021-01-18 02:00:00,0.0,1484.0
v1,2021-01-18 03:00:00,0.0,1487.0
v1,2021-01-18 04:00:00,0.0,1527.0
v1,2021-01-18 05:00:00,0.0,1505.0
v1,2021-01-18 06:00:00,0.0,1551.0
v1,2021-01-18 07:00:00,0.0,1465.0
v1,2021-01-18 08:00:00,0.0,1551.0
v1,2021-01-18 09:00:00,0.0,1466.0
v1,2021-01-18 10:00:00,0.0,1475.0
v1,2021-01-18 11:00:00,0.0,1499.0
v1,2021-01-18 12:00:00,0.0,1426.0
v1,2021-01-18 13:00:00,0.0,1500.0
v1,2021-01-18 14:00:00,0.0,1497.0
v1,2021-01-18 15:00:00,0.0,1484.0
v1,2021-01-18 16:00:00,0.0,1508.0
v1,2021-01-18 17:00:00,0.0,1528.0
v1,2021-01-18 18:00:00,0.0,1505.0
v1,2021-01-18 19:00:00,0.0,1531.0
v1,2021-01-18 20:00:00,0.0,1518.0
v1,2021-01-18 21:00:00,0.0,1522.0
v1,2021-01-18 22:00:00,0.0,1536.0
v1,2021-01-18 23:00:00,0.0,1490.0
v1,2021-01-18 23:59:59,7295.0,0.0
v1,2021-01-19 00:00:00,0.0,1495.0
v1,2021-01-19 01:00:00,0.0,1495.0
v1,2021-01-19 02:00:00,0.0,1507.0
v1,2021-01-19 03:00:00,0.0,1467.0
v1,2021-01-19 04:00:00,0.0,1541.0
v1,2021-01-19 05:00:00,0.0,1552.0
v2,2021-01-18 00:00:00,0.0,1485.0
v2,2021-01-18 01:00:00,0.0,1471.0
v2,2021-01-18 02:00:00,0.0,1505.0
v2,2021-01-18 03:00:00,0.0,1456.0
v2,2021-01-18 04:00:00,0.0,1480.0
v2,2021-01-18 05:00:00,0.0,1519.0
v2,2021-01-18 06:00:00,0.0,1483.0
v2,2021-01-18 07:00:00,0.0,1546.0
v2,2021-01-18 08:00:00,0.0,1545.0
v2,2021-01-18 09:00:00,0.0,1508.0
v2,2021-01-18 10:00:00,0.0,1524.0
v2,2021-01-18 11:00:00,0.0,1490.0
v2,2021-01-18 12:00:00,0.0,1547.0
v2,2021-01-18 13:00:00,0.0,1493.0
v2,2021-01-18 14:00:00,0.0,1495.0
v2,2021-01-18 15:00:00,0.0,1437.0
v2,2021-01-18 16:00:00,0.0,1518.0
v2,2021-01-18 17:00:00,0.0,1512.0
v2,2021-01-18 18:00:00,0.0,1496.0
v2,2021-01-18 19:00:00,0.0,1518.0
v2,2021-01-18 20:00:00,0.0,1471.0
v2,2021-01-18 21:00:00,0.0,1503.0
v2,2021-01-18 22:00:00,0.0,1525.0
v2,2021-01-18 23:00:00,0.0,1488.0
v2,2021-01-19 00:00:00,0.0,1494.0
v2,2021-01-19 01:00:00,0.0,1491.0
v2,2021-01-19 02:00:00,0.0,1419.0
v2,2021-01-19 03:00:00,0.0,1451.0
v2,2021-01-19 04:00:00,0.0,1511.0
v2,2021-01-19 05:00:00,0.0,1515.0
v3,2021-01-18 00:00:00,0.0,0.0
v3,2021-01-18 01:00:00,0.0,0.0
v3,2021-01-18 02:00:00,0.0,0.0
v3,2021-01-18 03:00:00,0.0,0.0
v3,2021-01-18 04:00:00,0.0,0.0
v3,2021-01-18 05:00:00,0.0,0.0
v3,2021-01-18 06:00:00,0.0,0.0
v3,2021-01-18 07:00:00,0.0,0.0
v3,2021-01-18 08:00:00,0.0,0.0
v3,2021-01-18 09:00:00,0.0,0.0
v3,2021-01-18 10:00:00,0.0,0.0
v3,2021-01-18 11:00:00,0.0,0.0
v3,2021-01-18 12:00:00,0.0,0.0
v3,2021-01-18 13:00:00,0.0,0.0
v3,2021-01-18 14:00:00,0.0,0.0
v3,2021-01-18 15:00:00,0.0,0.0
v3,2021-01-18 16:00:00,0.0,0.0
v3,2021-01-18 17:00:00,0.0,0.0
v3,2021-01-18 18:00:00,0.0,0.0
v3,2021-01-18 19:00:00,0.0,0.0
v3,2021-01-18 20:00:00,0.0,0.0
v3,2021-01-18 21:00:00,0.0,0.0
v3,2021-01-18 22:00:00,0.0,0.0
v3,2021-01-18 23:00:00,0.0,0.0
v3,2021-01-18 23:59:59,0.0,7295.0
v3,2021-01-19 00:00:00,0.0,0.0
v3,2021-01-19 01:00:00,0.0,0.0
v3,2021-01-19 02:00:00,0.0,0.0
v3,2021-01-19 03:00:00,0.0,0.0
v3,2021-01-19 04:00:00,0.0,0.0
v3,2021-01-19 05:00:00,0.0,0.0
v4,2021-01-18 00:00:00,0.0,0.0
v4,2021-01-18 01:00:00,0.0,0.0
v4,2021-01-18 02:00:00,0.0,0.0
v4,2021-01-18 03:00:00,0.0,0.0
v4,2021-01-18 04:00:00,0.0,0.0
v4,2021-01-18 05:00:00,0.0,0.0
v4,2021-01-18 06:00:00,0.0,0.0
v4,2021-01-18 07:00:00,0.0,0.0
